"seqnames","start","end","V6","geneId","annotation"
"chr2L",305958,306798,3.83577,"FBgn0004611","Promoter"
"chr2L",307214,307597,3.16246,"FBgn0004611","Intron (FBtr0078047/FBgn0004611, intron 1 of 16)"
"chr2L",309441,309830,10.4372,"FBgn0263872","Promoter"
"chr2L",409340,409760,1.59235,"FBgn0264855","3' UTR"
"chr2L",410997,411587,2.62148,"FBgn0264855","Exon (FBtr0089488/FBgn0264855, exon 5 of 9)"
"chr2L",413323,414771,10.3415,"FBgn0264855","Promoter"
"chr2L",415209,416658,2.97437,"FBgn0263933","Promoter"
"chr2L",419881,421453,87.7507,"FBgn0002593","Promoter"
"chr2L",431180,436241,33.992,"FBgn0004583","Promoter"
"chr2L",438496,443065,15.2919,"FBgn0263870","Promoter"
"chr2L",443671,444037,3.07747,"FBgn0263870","Exon (FBtr0078059/FBgn0004583, exon 5 of 6)"
"chr2L",445350,446862,5.42194,"FBgn0015924","Exon (FBtr0078059/FBgn0004583, exon 5 of 6)"
"chr2L",449485,449823,2.66668,"FBgn0015924","Exon (FBtr0078087/FBgn0015924, exon 3 of 5)"
"chr2L",453215,454139,7.00462,"FBgn0031256","Promoter"
"chr2L",471781,472259,8.00954,"FBgn0031258","Promoter"
"chr2L",473148,474362,11.6815,"FBgn0027592","Promoter"
"chr2L",477164,481882,78.8821,"FBgn0043364","Promoter"
"chr2L",482234,482581,2.6787,"FBgn0043364","Intron (FBtr0333012/FBgn0003963, intron 1 of 7)"
"chr2L",490774,492170,41.5157,"FBgn0003963","Promoter"
"chr2L",523496,524031,24.9507,"FBgn0003963","Promoter"
"chr2L",530633,531017,4.02195,"FBgn0003963","Intron (FBtr0333012/FBgn0003963, intron 2 of 7)"
"chr2L",540733,542540,48.5191,"FBgn0010602","Promoter"
"chr2L",542935,544633,44.818,"FBgn0031260","Promoter"
"chr2L",552224,552801,15.2689,"FBgn0005660","Promoter"
"chr2L",559590,561328,36.3895,"FBgn0031263","Promoter"
"chr2L",568480,569711,15.2359,"FBgn0031266","Promoter"
"chr2L",573550,574190,4.28659,"FBgn0031267","Promoter"
"chr2L",574660,575082,5.39076,"FBgn0031268","Promoter"
"chr2L",576137,576598,5.1743,"FBgn0013323","Promoter"
"chr2L",603936,604344,3.96627,"FBgn0031270","3' UTR"
"chr2L",650913,651485,1.97435,"FBgn0266909","Intron (FBtr0078045/FBgn0284247, intron 6 of 11)"
"chr2L",659433,660058,3.50196,"FBgn0266909","Intron (FBtr0078045/FBgn0284247, intron 2 of 11)"
"chr2L",664362,665086,4.29252,"FBgn0266909","Intron (FBtr0078045/FBgn0284247, intron 2 of 11)"
"chr2L",702127,703050,6.12002,"FBgn0266323","Intron (FBtr0078045/FBgn0284247, intron 2 of 11)"
"chr2L",713496,713910,2.79236,"FBgn0284247","Intron (FBtr0344054/FBgn0266323, intron 1 of 1)"
"chr2L",714256,715107,32.0848,"FBgn0284247","Promoter"
"chr2L",811084,811795,2.68687,"FBgn0086130","Promoter"
"chr2L",820174,820862,8.67395,"FBgn0015621","Promoter"
"chr2L",821498,822203,8.30317,"FBgn0031285","Promoter"
"chr2L",823060,823527,2.86454,"FBgn0031285","Exon (FBtr0305507/FBgn0031285, exon 2 of 4)"
"chr2L",825020,827423,18.5699,"FBgn0010583","Promoter"
"chr2L",831382,831916,7.86485,"FBgn0010583","Exon (FBtr0332973/FBgn0010583, exon 5 of 6)"
"chr2L",834969,835560,1.65251,"FBgn0020304","Exon (FBtr0302121/FBgn0020304, exon 4 of 6)"
"chr2L",839296,840762,5.26844,"FBgn0020304","Intron (FBtr0302121/FBgn0020304, intron 1 of 5)"
"chr2L",841140,842151,6.56041,"FBgn0020304","Promoter"
"chr2L",844292,844993,4.69361,"FBgn0020304","Intron (FBtr0302120/FBgn0020304, intron 1 of 5)"
"chr2L",845385,849432,6.35931,"FBgn0264869","Intron (FBtr0302120/FBgn0020304, intron 1 of 5)"
"chr2L",849971,851088,19.8389,"FBgn0020304","Promoter"
"chr2L",851586,855817,73.4778,"FBgn0020545","Promoter"
"chr2L",860761,864758,14.6605,"FBgn0031289","Promoter"
"chr2L",865122,869359,83.419,"FBgn0029095","Promoter"
"chr2L",870400,875558,212.917,"FBgn0053526","Promoter"
"chr2L",900804,901743,30.1404,"FBgn0003916","Promoter"
"chr2L",982331,982845,11.6432,"FBgn0266036","Distal Intergenic"
"chr2L",1007072,1007901,14.6314,"FBgn0266036","Downstream (<1kb)"
"chr2L",1052337,1052830,2.32968,"FBgn0031294","Exon (FBtr0077993/FBgn0003310, exon 3 of 5)"
"chr2L",1059688,1060326,7.71217,"FBgn0031294","Intron (FBtr0077993/FBgn0003310, intron 2 of 4)"
"chr2L",1061323,1062103,6.06044,"FBgn0031294","Exon (FBtr0077993/FBgn0003310, exon 2 of 5)"
"chr2L",1062619,1063330,10.6579,"FBgn0003310","Intron (FBtr0077993/FBgn0003310, intron 1 of 4)"
"chr2L",1069892,1070679,7.27546,"FBgn0003310","Intron (FBtr0077993/FBgn0003310, intron 1 of 4)"
"chr2L",1076477,1078547,35.5835,"FBgn0003310","Promoter"
"chr2L",1080993,1081809,8.40331,"FBgn0031298","Promoter"
"chr2L",1082546,1083102,3.67857,"FBgn0031298","3' UTR"
"chr2L",1102261,1102620,14.0716,"FBgn0031299","Promoter"
"chr2L",1107958,1108367,9.46129,"FBgn0261938","Promoter"
"chr2L",1113090,1119689,61.2403,"FBgn0016926","Promoter"
"chr2L",1126163,1128725,12.8323,"FBgn0016926","Promoter"
"chr2L",1129600,1131729,9.41764,"FBgn0031304","Promoter"
"chr2L",1143165,1143802,18.3041,"FBgn0031307","Promoter"
"chr2L",1149910,1153601,15.8336,"FBgn0031309","Promoter"
"chr2L",1156245,1158231,14.1587,"FBgn0261458","Promoter"
"chr2L",1158696,1161721,16.3609,"FBgn0264267","Promoter"
"chr2L",1166023,1169746,6.36256,"FBgn0031315","Promoter"
"chr2L",1170409,1171460,3.64942,"FBgn0024314","Promoter"
"chr2L",1184076,1185350,7.60195,"FBgn0031321","Promoter"
"chr2L",1185979,1186825,23.0952,"FBgn0031322","Promoter"
"chr2L",1238606,1239417,1.78513,"FBgn0031327","Promoter"
"chr2L",1239853,1242943,26.6142,"FBgn0031327","Promoter"
"chr2L",1361365,1361990,8.46068,"FBgn0053126","Promoter"
"chr2L",1392071,1392415,2.11776,"FBgn0266203","Exon (FBtr0077941/FBgn0002543, exon 7 of 14)"
"chr2L",1405164,1405520,1.95007,"FBgn0002543","Intron (FBtr0077941/FBgn0002543, intron 1 of 13)"
"chr2L",1419486,1420626,52.4666,"FBgn0002543","Promoter"
"chr2L",1431404,1431944,2.28926,"FBgn0003926","Promoter"
"chr2L",1554494,1558380,47.0472,"FBgn0261509","Promoter"
"chr2L",1559300,1560041,7.95339,"FBgn0261509","Intron (FBtr0310017/FBgn0261509, intron 2 of 9)"
"chr2L",1560425,1561135,15.2911,"FBgn0261509","Intron (FBtr0310017/FBgn0261509, intron 2 of 9)"
"chr2L",1561642,1563594,9.18446,"FBgn0261509","Intron (FBtr0310017/FBgn0261509, intron 2 of 9)"
"chr2L",1564204,1567592,4.99475,"FBgn0261509","Intron (FBtr0310017/FBgn0261509, intron 2 of 9)"
"chr2L",1568089,1570621,11.2782,"FBgn0261509","Intron (FBtr0310017/FBgn0261509, intron 2 of 9)"
"chr2L",1571755,1573122,2.2283,"FBgn0031347","Intron (FBtr0310017/FBgn0261509, intron 2 of 9)"
"chr2L",1573694,1578406,13.2166,"FBgn0031347","Intron (FBtr0310017/FBgn0261509, intron 2 of 9)"
"chr2L",1580811,1582001,7.79051,"FBgn0031347","Intron (FBtr0310017/FBgn0261509, intron 2 of 9)"
"chr2L",1582822,1583841,12.6176,"FBgn0031347","Intron (FBtr0310017/FBgn0261509, intron 2 of 9)"
"chr2L",1585042,1587049,9.12095,"FBgn0031347","Promoter"
"chr2L",1587876,1588653,3.83525,"FBgn0031347","Promoter"
"chr2L",1589080,1592686,10.4955,"FBgn0031347","Intron (FBtr0310017/FBgn0261509, intron 2 of 9)"
"chr2L",1593750,1595332,7.02289,"FBgn0031347","3' UTR"
"chr2L",1595749,1605685,23.8302,"FBgn0051935","5' UTR"
"chr2L",1606165,1608068,13.7009,"FBgn0051935","3' UTR"
"chr2L",1608449,1611164,39.5863,"FBgn0051935","Promoter"
"chr2L",1612808,1614131,4.06982,"FBgn0021906","Promoter"
"chr2L",1651158,1651678,31.9623,"FBgn0086758","Promoter"
"chr2L",1667705,1668192,2.49906,"FBgn0086758","Promoter"
"chr2L",1704978,1706623,12.9339,"FBgn0011570","Promoter"
"chr2L",1710014,1711380,11.3958,"FBgn0031356","Promoter"
"chr2L",1715096,1715550,4.36232,"FBgn0086698","Promoter"
"chr2L",1723346,1724557,38.1628,"FBgn0031359","Promoter"
"chr2L",1725055,1728348,53.6006,"FBgn0000579","Promoter"
"chr2L",1728958,1729448,4.56819,"FBgn0000579","Promoter"
"chr2L",1729914,1730881,25.1982,"FBgn0031360","Promoter"
"chr2L",1737043,1738634,43.1459,"FBgn0264494","Promoter"
"chr2L",1744794,1745158,3.5216,"FBgn0027597","Exon (FBtr0077885/FBgn0264494, exon 6 of 12)"
"chr2L",1748625,1749120,3.39425,"FBgn0027597","Exon (FBtr0077885/FBgn0264494, exon 10 of 12)"
"chr2L",1749542,1750149,3.45228,"FBgn0027597","3' UTR"
"chr2L",1750915,1751926,9.27033,"FBgn0027597","Promoter"
"chr2L",1805368,1805747,2.78147,"FBgn0045501","Distal Intergenic"
"chr2L",1884651,1885673,20.0422,"FBgn0031374","Promoter"
"chr2L",1923864,1924453,2.17837,"FBgn0031374","Intron (FBtr0113012/FBgn0031374, intron 3 of 18)"
"chr2L",1928081,1928566,2.60641,"FBgn0031374","Promoter"
"chr2L",1929470,1930227,3.98378,"FBgn0031374","Intron (FBtr0113012/FBgn0031374, intron 3 of 18)"
"chr2L",1936070,1937644,3.97342,"FBgn0011859","Promoter"
"chr2L",1938060,1938572,6.35122,"FBgn0011859","Promoter"
"chr2L",1944647,1945091,1.99689,"FBgn0040719","Promoter"
"chr2L",1974156,1975266,13.4739,"FBgn0267972","Promoter"
"chr2L",1980018,1980741,7.52291,"FBgn0031377","Promoter"
"chr2L",1981366,1983421,10.0407,"FBgn0031379","Promoter"
"chr2L",1984971,1987832,25.1982,"FBgn0001125","Promoter"
"chr2L",1988248,1989506,9.52996,"FBgn0031381","Promoter"
"chr2L",1995888,1996684,18.0959,"FBgn0263441","Downstream (<1kb)"
"chr2L",2008776,2011089,54.3182,"FBgn0031384","Promoter"
"chr2L",2013052,2013602,35.6629,"FBgn0051669","Promoter"
"chr2L",2031468,2031906,34.3202,"FBgn0011860","Promoter"
"chr2L",2037831,2038805,10.7186,"FBgn0003557","Promoter"
"chr2L",2040675,2041305,5.29825,"FBgn0003557","Promoter"
"chr2L",2112441,2113454,11.1552,"FBgn0053516","Distal Intergenic"
"chr2L",2113796,2114689,6.70235,"FBgn0053516","Distal Intergenic"
"chr2L",2115882,2117219,6.37803,"FBgn0053516","Distal Intergenic"
"chr2L",2118697,2119580,12.2872,"FBgn0053516","Distal Intergenic"
"chr2L",2130817,2131380,16.9799,"FBgn0004507","Promoter"
"chr2L",2144292,2145147,6.72231,"FBgn0031390","Promoter"
"chr2L",2151911,2152842,12.6834,"FBgn0031392","Promoter"
"chr2L",2155794,2156330,9.29601,"FBgn0031393","Promoter"
"chr2L",2158026,2168063,15.0325,"FBgn0000097","Promoter"
"chr2L",2168640,2169561,6.0249,"FBgn0000097","Intron (FBtr0077850/FBgn0000097, intron 1 of 3)"
"chr2L",2170283,2171718,3.90054,"FBgn0000097","5' UTR"
"chr2L",2172284,2178858,44.9884,"FBgn0000097","Promoter"
"chr2L",2187691,2190963,16.9166,"FBgn0264874","Promoter"
"chr2L",2191374,2192131,9.00872,"FBgn0031395","Promoter"
"chr2L",2197091,2197821,4.48936,"FBgn0085201","Promoter"
"chr2L",2198779,2200176,2.78281,"FBgn0085201","Promoter"
"chr2L",2202517,2203590,7.63689,"FBgn0051668","Downstream (<1kb)"
"chr2L",2212417,2213953,8.78136,"FBgn0031397","Promoter"
"chr2L",2226606,2227622,15.2519,"FBgn0264945","Promoter"
"chr2L",2231998,2233940,10.5206,"FBgn0264946","3' UTR"
"chr2L",2234318,2236783,5.22348,"FBgn0264946","Promoter"
"chr2L",2242310,2242806,17.3599,"FBgn0264979","Promoter"
"chr2L",2356513,2357128,5.34106,"FBgn0031413","Promoter"
"chr2L",2362375,2364929,20.7432,"FBgn0014010","Promoter"
"chr2L",2365396,2365861,8.57585,"FBgn0261647","Promoter"
"chr2L",2366444,2366880,3.52943,"FBgn0261647","Promoter"
"chr2L",2372738,2373770,3.96607,"FBgn0031418","Promoter"
"chr2L",2375989,2376581,9.57772,"FBgn0031420","Promoter"
"chr2L",2381063,2381905,5.21823,"FBgn0264672","Promoter"
"chr2L",2414267,2415386,23.6203,"FBgn0031426","Promoter"
"chr2L",2421367,2422157,2.55276,"FBgn0031428","Promoter"
"chr2L",2451404,2451876,1.76618,"FBgn0000490","Promoter"
"chr2L",2454394,2455675,9.72122,"FBgn0000490","Promoter"
"chr2L",2474370,2474737,3.50196,"FBgn0266824","Distal Intergenic"
"chr2L",2489636,2493432,51.4893,"FBgn0011818","Promoter"
"chr2L",2578309,2578967,4.73661,"FBgn0031435","Promoter"
"chr2L",2580366,2581063,10.4596,"FBgn0031437","Promoter"
"chr2L",2583639,2585395,8.69752,"FBgn0026479","Promoter"
"chr2L",2735116,2736415,9.60158,"FBgn0031449","Promoter"
"chr2L",2740517,2742957,8.69752,"FBgn0031450","Promoter"
"chr2L",2745970,2748677,21.8713,"FBgn0250906","Promoter"
"chr2L",2749311,2750078,3.84615,"FBgn0250906","Promoter"
"chr2L",2750717,2756267,110.044,"FBgn0031453","Promoter"
"chr2L",2758595,2759661,15.2012,"FBgn0031454","Promoter"
"chr2L",2760037,2760803,2.17566,"FBgn0031456","Promoter"
"chr2L",2764615,2765549,7.06326,"FBgn0031457","Promoter"
"chr2L",2766282,2767667,13.3254,"FBgn0031458","Promoter"
"chr2L",2768040,2771447,22.6618,"FBgn0019830","Promoter"
"chr2L",2805205,2805552,2.30306,"FBgn0031461","Promoter"
"chr2L",2806050,2806903,7.89111,"FBgn0031461","Promoter"
"chr2L",2807916,2808554,2.68831,"FBgn0031461","Promoter"
"chr2L",2818853,2819266,2.06089,"FBgn0031463","Exon (FBtr0300382/FBgn0283531, exon 8 of 10)"
"chr2L",2828515,2830722,48.4936,"FBgn0283531","Promoter"
"chr2L",2840093,2840622,10.3971,"FBgn0031468","Promoter"
"chr2L",2840985,2842038,7.52712,"FBgn0266881","Promoter"
"chr2L",2855993,2858272,44.7785,"FBgn0015521","Promoter"
"chr2L",2868828,2869449,5.02877,"FBgn0031476","Promoter"
"chr2L",2870418,2871440,2.74754,"FBgn0031476","Promoter"
"chr2L",2873176,2874455,20.1466,"FBgn0051694","Promoter"
"chr2L",2874961,2876165,7.54962,"FBgn0031478","Promoter"
"chr2L",2879225,2880136,6.4782,"FBgn0028970","Promoter"
"chr2L",2881520,2882343,3.45323,"FBgn0024947","Promoter"
"chr2L",2884887,2885281,34.7979,"FBgn0024947","Promoter"
"chr2L",2885993,2886594,9.75447,"FBgn0041111","Promoter"
"chr2L",2888315,2889400,4.00147,"FBgn0041111","Promoter"
"chr2L",2901442,2902015,3.95074,"FBgn0041111","Intron (FBtr0077632/FBgn0041111, intron 2 of 12)"
"chr2L",2903732,2904992,5.00494,"FBgn0041111","Intron (FBtr0077632/FBgn0041111, intron 2 of 12)"
"chr2L",2907472,2908399,14.0182,"FBgn0041111","Intron (FBtr0077632/FBgn0041111, intron 2 of 12)"
"chr2L",2922124,2922592,20.0366,"FBgn0041111","Intron (FBtr0077632/FBgn0041111, intron 2 of 12)"
"chr2L",2923003,2924150,3.01214,"FBgn0041111","Intron (FBtr0077632/FBgn0041111, intron 2 of 12)"
"chr2L",2925195,2925649,2.27966,"FBgn0041111","Intron (FBtr0077632/FBgn0041111, intron 2 of 12)"
"chr2L",2950273,2950654,1.59746,"FBgn0041111","Exon (FBtr0077632/FBgn0041111, exon 8 of 13)"
"chr2L",2975884,2976785,14.4118,"FBgn0031483","Promoter"
"chr2L",2978018,2979107,2.03543,"FBgn0031485","Promoter"
"chr2L",2980055,2980589,2.51991,"FBgn0031485","Promoter"
"chr2L",2981876,2982555,2.54813,"FBgn0031485","Exon (FBtr0331654/FBgn0250786, exon 5 of 7)"
"chr2L",2982985,2983540,3.31217,"FBgn0031485","Exon (FBtr0331654/FBgn0250786, exon 5 of 7)"
"chr2L",2983979,2985911,5.83041,"FBgn0250786","Exon (FBtr0331654/FBgn0250786, exon 2 of 7)"
"chr2L",2987121,2987511,1.71902,"FBgn0250786","Promoter"
"chr2L",2988278,2988906,4.4952,"FBgn0025109","Promoter"
"chr2L",2992222,2992575,4.68486,"FBgn0002989","Promoter"
"chr2L",2993088,2994416,11.528,"FBgn0025681","Promoter"
"chr2L",2999233,3002008,86.4605,"FBgn0031488","Promoter"
"chr2L",3006571,3006923,5.90453,"FBgn0031488","Intron (FBtr0077646/FBgn0031488, intron 1 of 3)"
"chr2L",3008044,3008401,2.8162,"FBgn0031488","Intron (FBtr0077646/FBgn0031488, intron 1 of 3)"
"chr2L",3008907,3009254,2.53427,"FBgn0031489","Intron (FBtr0077646/FBgn0031488, intron 1 of 3)"
"chr2L",3010308,3011527,12.6793,"FBgn0031489","Intron (FBtr0077646/FBgn0031488, intron 1 of 3)"
"chr2L",3012874,3013301,1.92742,"FBgn0031489","Intron (FBtr0077646/FBgn0031488, intron 1 of 3)"
"chr2L",3013930,3014391,3.96691,"FBgn0031489","Exon (FBtr0077646/FBgn0031488, exon 2 of 4)"
"chr2L",3022036,3024038,5.69005,"FBgn0031491","Promoter"
"chr2L",3028349,3029058,6.38651,"FBgn0031493","Promoter"
"chr2L",3035770,3037262,13.6271,"FBgn0031498","Promoter"
"chr2L",3037991,3038578,4.0639,"FBgn0031498","Promoter"
"chr2L",3039050,3039567,3.45144,"FBgn0243513","Promoter"
"chr2L",3056494,3057336,38.2942,"FBgn0283427","Promoter"
"chr2L",3058212,3059018,4.07886,"FBgn0283427","Intron (FBtr0077659/FBgn0283427, intron 1 of 5)"
"chr2L",3073567,3073947,6.12822,"FBgn0015600","Intron (FBtr0329906/FBgn0015600, intron 3 of 5)"
"chr2L",3094773,3096445,42.1182,"FBgn0015600","Promoter"
"chr2L",3107339,3108295,41.8209,"FBgn0015600","Promoter"
"chr2L",3123946,3124902,57.8034,"FBgn0031504","Exon (FBtr0077662/FBgn0015600, exon 3 of 11)"
"chr2L",3145113,3145674,5.66729,"FBgn0031505","Promoter"
"chr2L",3151891,3153853,5.33805,"FBgn0011648","Promoter"
"chr2L",3158806,3159564,7.03755,"FBgn0011648","Promoter"
"chr2L",3163634,3164082,13.9442,"FBgn0014906","Promoter"
"chr2L",3165086,3165430,3.29593,"FBgn0014906","Intron (FBtr0077576/FBgn0014906, intron 1 of 4)"
"chr2L",3169450,3170211,66.9592,"FBgn0011985","Promoter"
"chr2L",3172855,3173268,70.8025,"FBgn0011984","Promoter"
"chr2L",3252275,3253026,7.98772,"FBgn0266876","Distal Intergenic"
"chr2L",3258225,3258792,3.0109,"FBgn0266876","Downstream (2-3kb)"
"chr2L",3301453,3302915,8.71313,"FBgn0031516","Promoter"
"chr2L",3333593,3334688,7.51971,"FBgn0031523","Promoter"
"chr2L",3335082,3355066,74.711,"FBgn0020445","Promoter"
"chr2L",3360848,3361366,2.15067,"FBgn0031526","Exon (FBtr0306335/FBgn0085423, exon 7 of 8)"
"chr2L",3364057,3364602,4.16243,"FBgn0085423","Promoter"
"chr2L",3372366,3373344,26.4084,"FBgn0085423","Promoter"
"chr2L",3420278,3421176,4.09338,"FBgn0031530","Intron (FBtr0077592/FBgn0031530, intron 2 of 7)"
"chr2L",3422607,3422991,11.7944,"FBgn0031530","Promoter"
"chr2L",3436735,3437297,3.26366,"FBgn0031533","Distal Intergenic"
"chr2L",3449840,3451296,14.6609,"FBgn0031534","Promoter"
"chr2L",3452547,3454771,12.1796,"FBgn0031535","Promoter"
"chr2L",3455890,3456864,5.60024,"FBgn0031536","Promoter"
"chr2L",3457601,3457999,3.67537,"FBgn0266670","Promoter"
"chr2L",3459045,3459577,2.32697,"FBgn0266670","Exon (FBtr0077519/FBgn0266670, exon 3 of 4)"
"chr2L",3464852,3467044,9.16576,"FBgn0005616","Promoter"
"chr2L",3478349,3478829,19.7797,"FBgn0261560","Promoter"
"chr2L",3512068,3512701,2.32106,"FBgn0284253","Exon (FBtr0345640/FBgn0284253, exon 4 of 6)"
"chr2L",3513335,3516973,17.7218,"FBgn0031544","Promoter"
"chr2L",3517581,3518730,6.47915,"FBgn0031545","Promoter"
"chr2L",3545057,3545441,1.52589,"FBgn0024244","5' UTR"
"chr2L",3559206,3560308,8.59559,"FBgn0265368","Distal Intergenic"
"chr2L",3579295,3580836,8.71353,"FBgn0004892","Promoter"
"chr2L",3605520,3607324,9.51309,"FBgn0002985","Promoter"
"chr2L",3611942,3612683,9.51916,"FBgn0265369","Distal Intergenic"
"chr2L",3625296,3626112,3.95424,"FBgn0031554","Exon (FBtr0089306/FBgn0000721, exon 2 of 7)"
"chr2L",3627007,3627479,7.10971,"FBgn0000721","5' UTR"
"chr2L",3627825,3628535,6.46596,"FBgn0000721","Intron (FBtr0089306/FBgn0000721, intron 1 of 6)"
"chr2L",3631146,3632226,40.0703,"FBgn0000721","Promoter"
"chr2L",3645761,3646148,3.29156,"FBgn0000721","Promoter"
"chr2L",3650203,3650677,7.43479,"FBgn0000721","Intron (FBtr0089304/FBgn0000721, intron 2 of 9)"
"chr2L",3655506,3656978,15.7566,"FBgn0000721","Promoter"
"chr2L",3714050,3714835,5.15061,"FBgn0031566","Promoter"
"chr2L",3771270,3774517,46.9537,"FBgn0004893","Promoter"
"chr2L",3775113,3776560,9.07824,"FBgn0004893","Intron (FBtr0077490/FBgn0004893, intron 2 of 3)"
"chr2L",3776955,3779088,9.9734,"FBgn0004893","Promoter"
"chr2L",3779585,3783306,27.8356,"FBgn0004893","Promoter"
"chr2L",3784145,3785095,13.8198,"FBgn0051960","Promoter"
"chr2L",3786941,3790227,28.3162,"FBgn0031571","Promoter"
"chr2L",3790594,3791140,8.07667,"FBgn0031571","Promoter"
"chr2L",3792635,3794225,8.8718,"FBgn0031571","Exon (FBtr0077496/FBgn0031571, exon 3 of 12)"
"chr2L",3794974,3795637,2.54553,"FBgn0031571","Exon (FBtr0077496/FBgn0031571, exon 4 of 12)"
"chr2L",3801854,3802287,5.55678,"FBgn0021800","3' UTR"
"chr2L",3803214,3803708,3.05258,"FBgn0021800","Promoter"
"chr2L",3805614,3806118,8.90887,"FBgn0021800","Promoter"
"chr2L",3812432,3813046,2.56351,"FBgn0031573","Promoter"
"chr2L",3887096,3888838,9.2208,"FBgn0000256","Promoter"
"chr2L",4025581,4026349,26.916,"FBgn0000547","Distal Intergenic"
"chr2L",4029670,4030328,3.76756,"FBgn0000547","Distal Intergenic"
"chr2L",4031393,4033277,10.0515,"FBgn0000547","Promoter"
"chr2L",4034495,4039431,16.5317,"FBgn0000547","Intron (FBtr0077465/FBgn0000547, intron 2 of 8)"
"chr2L",4040206,4041394,5.65865,"FBgn0000547","Intron (FBtr0077465/FBgn0000547, intron 2 of 8)"
"chr2L",4042811,4044561,16.3931,"FBgn0000547","Intron (FBtr0077465/FBgn0000547, intron 2 of 8)"
"chr2L",4044982,4046014,9.22078,"FBgn0000547","Intron (FBtr0077465/FBgn0000547, intron 2 of 8)"
"chr2L",4047686,4048572,17.672,"FBgn0000547","Intron (FBtr0077465/FBgn0000547, intron 2 of 8)"
