"seqnames","start","end","V6","geneId"
"chr2L",2013052,2013602,35.6629,"FBgn0051669"
"chr2L",2031468,2031906,34.3202,"FBgn0011860"
"chr2L",2037831,2038805,10.7186,"FBgn0003557"
"chr2L",2040675,2041305,5.29825,"FBgn0003557"
"chr2L",2130817,2131380,16.9799,"FBgn0004507"
"chr2L",2144292,2145147,6.72231,"FBgn0031390"
"chr2L",2151911,2152842,12.6834,"FBgn0031392"
"chr2L",2155794,2156330,9.29601,"FBgn0031393"
"chr2L",2158026,2168063,15.0325,"FBgn0000097"
"chr2L",2172284,2178858,44.9884,"FBgn0000097"
"chr2L",2187691,2190963,16.9166,"FBgn0264874"
"chr2L",2191374,2192131,9.00872,"FBgn0031395"
"chr2L",2197091,2197821,4.48936,"FBgn0085201"
"chr2L",2198779,2200176,2.78281,"FBgn0085201"
"chr2L",2212417,2213953,8.78136,"FBgn0031397"
"chr2L",2226606,2227622,15.2519,"FBgn0264945"
"chr2L",2234318,2236783,5.22348,"FBgn0264946"
"chr2L",2242310,2242806,17.3599,"FBgn0264979"
"chr2L",2356513,2357128,5.34106,"FBgn0031413"
"chr2L",2362375,2364929,20.7432,"FBgn0014010"
"chr2L",2365396,2365861,8.57585,"FBgn0261647"
"chr2L",2366444,2366880,3.52943,"FBgn0261647"
"chr2L",2372738,2373770,3.96607,"FBgn0031418"
"chr2L",2375989,2376581,9.57772,"FBgn0031420"
"chr2L",2381063,2381905,5.21823,"FBgn0264672"
"chr2L",2414267,2415386,23.6203,"FBgn0031426"
"chr2L",2421367,2422157,2.55276,"FBgn0031428"
"chr2L",2451404,2451876,1.76618,"FBgn0000490"
"chr2L",2454394,2455675,9.72122,"FBgn0000490"
"chr2L",2489636,2493432,51.4893,"FBgn0011818"
"chr2L",2578309,2578967,4.73661,"FBgn0031435"
"chr2L",2580366,2581063,10.4596,"FBgn0031437"
"chr2L",2583639,2585395,8.69752,"FBgn0026479"
"chr2L",2735116,2736415,9.60158,"FBgn0031449"
"chr2L",2740517,2742957,8.69752,"FBgn0031450"
"chr2L",2745970,2748677,21.8713,"FBgn0250906"
"chr2L",2749311,2750078,3.84615,"FBgn0250906"
"chr2L",2750717,2756267,110.044,"FBgn0031453"
"chr2L",2758595,2759661,15.2012,"FBgn0031454"
"chr2L",2760037,2760803,2.17566,"FBgn0031456"
"chr2L",2764615,2765549,7.06326,"FBgn0031457"
"chr2L",2766282,2767667,13.3254,"FBgn0031458"
"chr2L",2768040,2771447,22.6618,"FBgn0019830"
"chr2L",2805205,2805552,2.30306,"FBgn0031461"
"chr2L",2806050,2806903,7.89111,"FBgn0031461"
"chr2L",2807916,2808554,2.68831,"FBgn0031461"
"chr2L",2828515,2830722,48.4936,"FBgn0283531"
"chr2L",2840093,2840622,10.3971,"FBgn0031468"
"chr2L",2840985,2842038,7.52712,"FBgn0266881"
"chr2L",2855993,2858272,44.7785,"FBgn0015521"
"chr2L",2868828,2869449,5.02877,"FBgn0031476"
"chr2L",2870418,2871440,2.74754,"FBgn0031476"
"chr2L",2873176,2874455,20.1466,"FBgn0051694"
"chr2L",2874961,2876165,7.54962,"FBgn0031478"
"chr2L",2879225,2880136,6.4782,"FBgn0028970"
"chr2L",2881520,2882343,3.45323,"FBgn0024947"
"chr2L",2884887,2885281,34.7979,"FBgn0024947"
"chr2L",2885993,2886594,9.75447,"FBgn0041111"
"chr2L",2888315,2889400,4.00147,"FBgn0041111"
"chr2L",2975884,2976785,14.4118,"FBgn0031483"
"chr2L",2978018,2979107,2.03543,"FBgn0031485"
"chr2L",2980055,2980589,2.51991,"FBgn0031485"
"chr2L",2987121,2987511,1.71902,"FBgn0250786"
"chr2L",2988278,2988906,4.4952,"FBgn0025109"
"chr2L",2992222,2992575,4.68486,"FBgn0002989"
"chr2L",2993088,2994416,11.528,"FBgn0025681"
"chr2L",2999233,3002008,86.4605,"FBgn0031488"
"chr2L",3022036,3024038,5.69005,"FBgn0031491"
"chr2L",3028349,3029058,6.38651,"FBgn0031493"
"chr2L",3035770,3037262,13.6271,"FBgn0031498"
"chr2L",3037991,3038578,4.0639,"FBgn0031498"
"chr2L",3039050,3039567,3.45144,"FBgn0243513"
"chr2L",3056494,3057336,38.2942,"FBgn0283427"
"chr2L",3094773,3096445,42.1182,"FBgn0015600"
"chr2L",3107339,3108295,41.8209,"FBgn0015600"
"chr2L",3145113,3145674,5.66729,"FBgn0031505"
"chr2L",3151891,3153853,5.33805,"FBgn0011648"
"chr2L",3158806,3159564,7.03755,"FBgn0011648"
"chr2L",3163634,3164082,13.9442,"FBgn0014906"
"chr2L",3169450,3170211,66.9592,"FBgn0011985"
"chr2L",3172855,3173268,70.8025,"FBgn0011984"
"chr2L",3301453,3302915,8.71313,"FBgn0031516"
"chr2L",3333593,3334688,7.51971,"FBgn0031523"
"chr2L",3335082,3355066,74.711,"FBgn0020445"
"chr2L",3364057,3364602,4.16243,"FBgn0085423"
"chr2L",3372366,3373344,26.4084,"FBgn0085423"
"chr2L",3422607,3422991,11.7944,"FBgn0031530"
"chr2L",3449840,3451296,14.6609,"FBgn0031534"
"chr2L",3452547,3454771,12.1796,"FBgn0031535"
"chr2L",3455890,3456864,5.60024,"FBgn0031536"
"chr2L",3457601,3457999,3.67537,"FBgn0266670"
"chr2L",3464852,3467044,9.16576,"FBgn0005616"
"chr2L",3478349,3478829,19.7797,"FBgn0261560"
"chr2L",3513335,3516973,17.7218,"FBgn0031544"
"chr2L",3517581,3518730,6.47915,"FBgn0031545"
"chr2L",3579295,3580836,8.71353,"FBgn0004892"
"chr2L",3605520,3607324,9.51309,"FBgn0002985"
"chr2L",3631146,3632226,40.0703,"FBgn0000721"
"chr2L",3645761,3646148,3.29156,"FBgn0000721"
"chr2L",3655506,3656978,15.7566,"FBgn0000721"
"chr2L",3714050,3714835,5.15061,"FBgn0031566"
"chr2L",3771270,3774517,46.9537,"FBgn0004893"
"chr2L",3776955,3779088,9.9734,"FBgn0004893"
"chr2L",3779585,3783306,27.8356,"FBgn0004893"
"chr2L",3784145,3785095,13.8198,"FBgn0051960"
"chr2L",3786941,3790227,28.3162,"FBgn0031571"
"chr2L",3790594,3791140,8.07667,"FBgn0031571"
"chr2L",3803214,3803708,3.05258,"FBgn0021800"
"chr2L",3805614,3806118,8.90887,"FBgn0021800"
"chr2L",3812432,3813046,2.56351,"FBgn0031573"
"chr2L",3887096,3888838,9.2208,"FBgn0000256"
"chr2L",4031393,4033277,10.0515,"FBgn0000547"
"chr2L",4074505,4077466,10.0849,"FBgn0266319"
"chr2L",4083835,4086567,8.18461,"FBgn0086032"
"chr2L",4185873,4187648,2.337,"FBgn0267441"
"chr2L",4197283,4198095,7.58942,"FBgn0031589"
"chr2L",4221036,4221858,47.8668,"FBgn0001075"
"chr2L",4225587,4226881,6.76687,"FBgn0031590"
"chr2L",4227747,4230063,26.1643,"FBgn0265819"
"chr2L",4333865,4334618,35.0001,"FBgn0020762"
"chr2L",4371939,4372631,20.1113,"FBgn0026319"
"chr2L",4391358,4393569,13.4458,"FBgn0031600"
"chr2L",4394273,4395373,4.47111,"FBgn0022153"
"chr2L",4442527,4444476,8.02582,"FBgn0031603"
"chr2L",4445015,4446580,4.65281,"FBgn0031604"
"chr2L",4447136,4448347,9.98299,"FBgn0025684"
"chr2L",4452408,4454196,7.40561,"FBgn0031606"
"chr2L",4455341,4458365,78.3315,"FBgn0019982"
"chr2L",4458922,4459572,16.9147,"FBgn0053002"
"chr2L",4462059,4462574,3.33815,"FBgn0031609"
"chr2L",4476406,4478855,16.5589,"FBgn0011603"
"chr2L",4576666,4579979,7.6247,"FBgn0031613"
"chr2L",4582434,4584260,7.36953,"FBgn0263869"
"chr2L",4584984,4590980,7.87352,"FBgn0053196"
"chr2L",4591432,4592783,68.9772,"FBgn0053196"
"chr2L",4612571,4613414,4.07992,"FBgn0053196"
"chr2L",4613958,4614672,59.1895,"FBgn0053196"
"chr2L",4651473,4652768,3.47667,"FBgn0031619"
"chr2L",4655630,4656372,3.66427,"FBgn0284415"
"chr2L",4812787,4813672,3.5519,"FBgn0031630"
"chr2L",4816355,4817373,5.85445,"FBgn0263577"
"chr2L",4836877,4837756,4.22047,"FBgn0031635"
"chr2L",4845084,4847199,17.436,"FBgn0031637"
"chr2L",4848043,4850345,12.6834,"FBgn0031639"
"chr2L",4850830,4851191,2.63811,"FBgn0031640"
"chr2L",4881235,4882845,15.7416,"FBgn0000286"
"chr2L",4883518,4884116,9.14926,"FBgn0031643"
"chr2L",4887354,4889469,12.6278,"FBgn0031644"
"chr2L",4891996,4892541,36.1593,"FBgn0031645"
"chr2L",4945623,4946341,7.40401,"FBgn0015000"
"chr2L",4950052,4950706,1.51977,"FBgn0031653"
"chr2L",4965719,4967732,41.7725,"FBgn0015834"
"chr2L",4968101,4968889,4.14274,"FBgn0262467"
"chr2L",4969573,4969927,3.94747,"FBgn0031657"
"chr2L",4970577,4970963,2.85986,"FBgn0010607"
"chr2L",4971806,4972213,2.76147,"FBgn0031659"
"chr2L",4974045,4974825,3.8098,"FBgn0031660"
"chr2L",4976512,4976897,3.81707,"FBgn0031661"
"chr2L",4978604,4979336,4.65917,"FBgn0031663"
"chr2L",4980184,4981253,10.678,"FBgn0031664"
"chr2L",4981644,4982628,6.66719,"FBgn0083962"
"chr2L",4994136,4997694,62.6894,"FBgn0053113"
"chr2L",5001174,5001801,6.47972,"FBgn0053113"
"chr2L",5003848,5004315,2.28727,"FBgn0053113"
"chr2L",5008675,5010701,12.8742,"FBgn0053113"
"chr2L",5011203,5011939,7.39493,"FBgn0031670"
"chr2L",5042472,5044819,18.8978,"FBgn0031673"
"chr2L",5045165,5045709,7.19132,"FBgn0264742"
"chr2L",5048442,5050037,3.03391,"FBgn0031675"
"chr2L",5050632,5052795,17.3098,"FBgn0022023"
"chr2L",5055223,5056379,18.6933,"FBgn0014857"
"chr2L",5058443,5059703,24.6721,"FBgn0028694"
"chr2L",5071011,5072837,47.9132,"FBgn0266843"
"chr2L",5082113,5093638,63.414,"FBgn0031681"
"chr2L",5094155,5094884,7.68555,"FBgn0031682"
"chr2L",5099680,5100114,5.11634,"FBgn0031684"
"chr2L",5108467,5109601,36.732,"FBgn0261836"
"chr2L",5146505,5147558,1.48071,"FBgn0261836"
"chr2L",5236388,5237378,9.45973,"FBgn0003716"
"chr2L",5240542,5241481,50.9425,"FBgn0051914"
"chr2L",5277966,5278364,4.26444,"FBgn0000228"
"chr2L",5279277,5280005,6.43385,"FBgn0031696"
"chr2L",5287851,5288634,5.93237,"FBgn0265955"
"chr2L",5289048,5289393,9.02991,"FBgn0016076"
"chr2L",5296515,5298873,7.22868,"FBgn0267294"
"chr2L",5299289,5301885,17.9848,"FBgn0016076"
"chr2L",5305305,5311095,86.4697,"FBgn0016076"
"chr2L",5322614,5326586,18.1433,"FBgn0266320"
"chr2L",5327405,5328368,12.7317,"FBgn0015031"
"chr2L",5519056,5519561,4.47111,"FBgn0031708"
"chr2L",5520311,5521735,18.1451,"FBgn0000318"
"chr2L",5524403,5525734,11.1933,"FBgn0031711"
"chr2L",5530818,5532014,2.71252,"FBgn0031713"
"chr2L",5539667,5542180,30.4117,"FBgn0014189"
"chr2L",5542684,5543670,3.41261,"FBgn0002525"
"chr2L",5546352,5547850,7.38458,"FBgn0031717"
"chr2L",5740360,5740932,13.7501,"FBgn0031734"
"chr2L",5770734,5771150,3.13687,"FBgn0051912"
"chr2L",5772793,5773146,1.97111,"FBgn0031738"
"chr2L",5773982,5774679,4.25096,"FBgn0031738"
"chr2L",5799205,5800231,36.7107,"FBgn0031738"
"chr2L",5800848,5801861,3.45791,"FBgn0031739"
"chr2L",5802266,5802666,5.00203,"FBgn0031740"
"chr2L",5805320,5805708,44.0791,"FBgn0031741"
"chr2L",5878812,5879968,36.1414,"FBgn0031745"
"chr2L",5943913,5945057,31.6477,"FBgn0001128"
"chr2L",5949917,5951091,6.78639,"FBgn0031752"
"chr2L",5963723,5964279,2.63982,"FBgn0086265"
"chr2L",5969228,5969602,4.4616,"FBgn0031758"
"chr2L",5970066,5975941,33.1138,"FBgn0263442"
"chr2L",5976451,5981086,131.388,"FBgn0000308"
"chr2L",5981693,5988133,93.0686,"FBgn0001941"
"chr2L",5997110,5999494,27.5649,"FBgn0031759"
"chr2L",6000236,6000983,9.43303,"FBgn0031760"
"chr2L",6023055,6024393,5.6729,"FBgn0031764"
"chr2L",6035754,6036776,3.90463,"FBgn0025742"
"chr2L",6045371,6048621,30.4035,"FBgn0000052"
"chr2L",6049096,6050373,3.29619,"FBgn0085208"
"chr2L",6050936,6053190,18.3181,"FBgn0031769"
"chr2L",6054002,6054644,2.49706,"FBgn0031770"
"chr2L",6061406,6063568,9.20995,"FBgn0031771"
"chr2L",6066583,6067005,5.19124,"FBgn0031774"
"chr2L",6069296,6073757,35.2196,"FBgn0031777"
"chr2L",6074120,6074590,6.4823,"FBgn0264345"
"chr2L",6078299,6079728,54.9521,"FBgn0031778"
"chr2L",6081172,6083505,17.8824,"FBgn0266450"
"chr2L",6090095,6090532,3.87453,"FBgn0266445"
"chr2L",6096603,6098921,15.0635,"FBgn0031779"
"chr2L",6125130,6127345,14.2779,"FBgn0284255"
"chr2L",6179082,6179579,22.3584,"FBgn0085409"
"chr2L",6254541,6255007,4.29252,"FBgn0031791"
"chr2L",6324040,6324898,7.38921,"FBgn0265778"
"chr2L",6336348,6338362,4.48522,"FBgn0031799"
"chr2L",6338826,6339651,18.1504,"FBgn0015623"
"chr2L",6344225,6344635,4.95013,"FBgn0015623"
"chr2L",6424381,6425657,7.5895,"FBgn0263278"
"chr2L",6446415,6448266,18.9589,"FBgn0031813"
"chr2L",6455087,6455992,29.4862,"FBgn0031814"
"chr2L",6456383,6458657,18.4873,"FBgn0031815"
"chr2L",6463268,6464712,7.04205,"FBgn0031816"
"chr2L",6465058,6465905,34.7429,"FBgn0031816"
"chr2L",6468846,6473868,25.4518,"FBgn0259749"
"chr2L",6474581,6475101,3.91259,"FBgn0259749"
"chr2L",6476227,6482123,150.279,"FBgn0031818"
"chr2L",6487855,6488576,6.07795,"FBgn0031821"
"chr2L",6489172,6490801,43.0987,"FBgn0031822"
"chr2L",6491417,6491924,6.492,"FBgn0051638"
"chr2L",6494108,6494774,11.5819,"FBgn0031824"
"chr2L",6498627,6499869,28.2619,"FBgn0051637"
"chr2L",6557907,6558727,13.1534,"FBgn0031830"
"chr2L",6562402,6563908,4.44917,"FBgn0263916"
"chr2L",6565144,6566109,2.91321,"FBgn0031834"
"chr2L",6612541,6613420,72.5349,"FBgn0031836"
"chr2L",6648703,6651165,15.4794,"FBgn0031842"
"chr2L",6658599,6659194,4.13427,"FBgn0028467"
"chr2L",6667181,6667767,2.80467,"FBgn0263200"
"chr2L",6672014,6673424,25.659,"FBgn0028990"
"chr2L",6683660,6684372,27.9223,"FBgn0028703"
"chr2L",6708728,6709174,33.8578,"FBgn0031850"
"chr2L",6722794,6723249,3.74469,"FBgn0025777"
"chr2L",6724003,6724792,9.86817,"FBgn0046704"
"chr2L",6786278,6786980,63.773,"FBgn0015776"
"chr2L",6793651,6794682,38.4653,"FBgn0015777"
"chr2L",6852376,6853527,5.44685,"FBgn0017551"
"chr2L",6870113,6870539,11.6516,"FBgn0031865"
"chr2L",6908308,6908741,3.10363,"FBgn0031868"
"chr2L",6913448,6913957,4.19471,"FBgn0011737"
"chr2L",6917428,6918743,13.973,"FBgn0026196"
"chr2L",6919421,6920122,30.8377,"FBgn0028554"
"chr2L",6920658,6926428,75.9546,"FBgn0004838"
"chr2L",6944028,6945278,6.50051,"FBgn0031871"
"chr2L",6945719,6946145,2.01467,"FBgn0031871"
"chr2L",6947273,6948801,9.03056,"FBgn0031872"
"chr2L",6950560,6950948,3.72947,"FBgn0020616"
"chr2L",6964512,6965571,6.7934,"FBgn0021944"
"chr2L",6966410,6967622,29.3571,"FBgn0264922"
"chr2L",6968851,6991943,117.414,"FBgn0016978"
"chr2L",6997609,7010713,74.0482,"FBgn0031879"
"chr2L",7023542,7023908,7.07422,"FBgn0000053"
"chr2L",7025013,7026809,5.68863,"FBgn0051908"
"chr2L",7031388,7034123,19.9664,"FBgn0031882"
"chr2L",7035502,7039310,12.6018,"FBgn0262872"
"chr2L",7042318,7043326,14.8127,"FBgn0262872"
"chr2L",7049041,7050961,4.44346,"FBgn0262872"
"chr2L",7056438,7056798,2.02204,"FBgn0031885"
"chr2L",7064074,7065343,17.3698,"FBgn0266666"
"chr2L",7078262,7078625,1.87267,"FBgn0265822"
"chr2L",7182331,7182915,3.84712,"FBgn0031893"
"chr2L",7193999,7194686,3.73036,"FBgn0031895"
"chr2L",7203498,7204194,5.12221,"FBgn0031896"
"chr2L",7219369,7220024,10.1044,"FBgn0031897"
"chr2L",7276839,7277207,3.88813,"FBgn0010453"
"chr2L",7307118,7307801,6.84613,"FBgn0284084"
"chr2L",7386511,7388222,9.71096,"FBgn0031904"
"chr2L",7423509,7427709,171.86,"FBgn0262453"
"chr2L",7437428,7438311,35.2374,"FBgn0031914"
"chr2L",7443529,7443954,4.36828,"FBgn0031914"
"chr2L",7469555,7470942,4.50297,"FBgn0031918"
"chr2L",7495610,7496323,20.9358,"FBgn0260486"
"chr2L",7497008,7497417,3.41439,"FBgn0011283"
"chr2L",7518380,7520437,16.6121,"FBgn0264891"
"chr2L",7528877,7530899,30.1407,"FBgn0264895"
"chr2L",7573850,7575089,8.20183,"FBgn0264895"
"chr2L",7575429,7577008,27.2728,"FBgn0264895"
"chr2L",7607805,7608599,4.68042,"FBgn0031926"
"chr2L",7701331,7701666,23.14,"FBgn0041182"
"chr2L",7702747,7703712,21.1984,"FBgn0041181"
"chr2L",7731898,7732755,23.4505,"FBgn0031939"
"chr2L",7754461,7755398,4.51734,"FBgn0267689"
"chr2L",7782948,7784414,6.44187,"FBgn0031947"
"chr2L",7799226,7799800,8.13543,"FBgn0031950"
"chr2L",7800462,7801321,7.75864,"FBgn0031951"
"chr2L",7809955,7810705,10.2917,"FBgn0031952"
"chr2L",7811407,7811986,35.9053,"FBgn0261800"
"chr2L",7821581,7822201,10.0435,"FBgn0027515"
"chr2L",7824684,7827334,63.517,"FBgn0020618"
"chr2L",7827730,7829884,25.7706,"FBgn0004177"
"chr2L",7872505,7873079,67.0956,"FBgn0011861"
"chr2L",7878369,7879534,7.2089,"FBgn0031959"
"chr2L",7975237,7976674,4.4491,"FBgn0085450"
"chr2L",7991191,7991790,7.34706,"FBgn0031969"
"chr2L",7992958,7994457,25.4187,"FBgn0031969"
"chr2L",7998978,7999487,5.22007,"FBgn0031971"
"chr2L",8003369,8004172,10.0701,"FBgn0031972"
"chr2L",8004641,8005451,9.56813,"FBgn0031972"
"chr2L",8006222,8007769,18.868,"FBgn0031973"
"chr2L",8029560,8030332,15.1529,"FBgn0031977"
"chr2L",8030798,8032482,9.70545,"FBgn0044323"
"chr2L",8041071,8042896,72.7232,"FBgn0031979"
"chr2L",8043618,8044041,5.43206,"FBgn0031981"
"chr2L",8070628,8071604,11.6665,"FBgn0011230"
"chr2L",8071977,8072453,2.63941,"FBgn0011230"
"chr2L",8081617,8082984,9.47074,"FBgn0266795"
"chr2L",8083954,8084898,2.91174,"FBgn0261822"
"chr2L",8122766,8123941,6.88318,"FBgn0031985"
"chr2L",8127075,8127894,7.36798,"FBgn0031988"
"chr2L",8142466,8143138,4.08611,"FBgn0263561"
"chr2L",8145393,8147786,4.76989,"FBgn0051606"
"chr2L",8148930,8149987,5.26588,"FBgn0263256"
"chr2L",8159107,8162304,18.3542,"FBgn0031990"
"chr2L",8163004,8164048,60.648,"FBgn0264953"
"chr2L",8204531,8205192,11.9307,"FBgn0031998"
"chr2L",8212203,8212684,2.59572,"FBgn0032000"
"chr2L",8219826,8220477,11.9217,"FBgn0032005"
"chr2L",8238183,8239907,35.0417,"FBgn0032006"
"chr2L",8264616,8265707,5.98003,"FBgn0003502"
"chr2L",8266571,8266935,1.93349,"FBgn0003502"
"chr2L",8273948,8276086,9.64972,"FBgn0003502"
"chr2L",8276501,8277944,54.3314,"FBgn0003502"
"chr2L",8299404,8299927,5.01197,"FBgn0003502"
"chr2L",8300348,8301048,8.38611,"FBgn0003502"
"chr2L",8301699,8302904,3.31895,"FBgn0261020"
"chr2L",8305589,8308146,35.7134,"FBgn0032014"
"chr2L",8308636,8309472,6.82421,"FBgn0032016"
"chr2L",8311464,8311896,4.22509,"FBgn0032018"
"chr2L",8361893,8362543,5.74981,"FBgn0032026"
"chr2L",8363036,8364595,14.8007,"FBgn0010265"
"chr2L",8365211,8365559,2.89513,"FBgn0261437"
"chr2L",8366085,8366572,8.98609,"FBgn0260439"
"chr2L",8370471,8371267,30.5837,"FBgn0032029"
"chr2L",8374976,8376066,7.44703,"FBgn0032030"
"chr2L",8378454,8381695,28.2551,"FBgn0027094"
"chr2L",8382049,8384074,39.9115,"FBgn0032033"
"chr2L",8384526,8384889,3.97037,"FBgn0032036"
"chr2L",8389066,8389515,3.70353,"FBgn0262001"
"chr2L",8402194,8402931,8.44513,"FBgn0001084"
"chr2L",8403539,8404415,14.975,"FBgn0020497"
"chr2L",8414169,8415237,5.46227,"FBgn0032042"
"chr2L",8415642,8428910,36.8196,"FBgn0027932"
"chr2L",8464789,8465923,1.77151,"FBgn0285971"
"chr2L",8478428,8479555,31.9623,"FBgn0262029"
"chr2L",8481369,8482289,19.2299,"FBgn0051892"
"chr2L",8485194,8487674,22.753,"FBgn0263489"
"chr2L",8510697,8511172,1.84296,"FBgn0032050"
"chr2L",8515167,8515792,2.71252,"FBgn0032052"
"chr2L",8516824,8517222,2.53552,"FBgn0032053"
"chr2L",8522099,8522481,18.2919,"FBgn0016122"
"chr2L",8527155,8528205,3.81539,"FBgn0085470"
"chr2L",8528857,8530050,65.7042,"FBgn0028394"
"chr2L",8535772,8536532,8.96915,"FBgn0028394"
"chr2L",8541090,8541864,68.9576,"FBgn0051603"
"chr2L",8543275,8544023,6.7838,"FBgn0011259"
