Geneid,L3,L3,L3,APF0h,APF0h,APF0h
5-HT2A,46,0,0,0,0,0
lncRNA:CR45673,0,0,0,0,0,0
CG9775,157,660,0,263,211,226
sisRNA:CR46358,0,0,0,0,0,0
MED31,307,279,0,299,284,123
slx1,8,44,1261,0,32,1
Dlip2,199,684,2,151,193,78
rpk,0,0,0,0,0,0
asRNA:CR44155,0,0,0,0,0,0
Karybeta3,295,389,401,460,1223,391
spartin,1,0,0,0,32,6
smash,31,737,0,162,287,64
lncRNA:CR44156,0,0,0,0,0,0
lncRNA:CR44157,0,0,0,0,0,0
CG33927,0,0,0,0,0,0
eIF3f1,2197,2501,2627,1116,1846,994
lncRNA:CR44923,0,0,0,2,65,14
Nep2,3,4,4,4490,11752,2446
tacc,285,399,890,757,1129,537
asRNA:CR46137,0,0,0,0,0,5
mir-9384,0,0,0,0,0,0
atms,584,680,0,506,366,297
CG44098,0,0,0,220,352,131
CG44088,0,0,0,0,0,0
CG14655,0,0,0,7,6,3
CG17387,0,0,0,0,0,0
ctrip,34,133,23,317,330,150
Hus1-like,1,634,731,285,222,134
CG1129,406,680,0,346,509,272
BBS5,0,0,0,0,0,0
CG14657,5,4,2,483,420,253
CG14658,0,0,0,0,0,0
CG14659,0,0,0,0,0,0
opa,0,0,0,0,0,0
laf,0,0,0,0,0,0
lncRNA:CR45580,0,0,0,0,0,0
Gnf1,152,0,30,132,97,50
Cdep,3,20,0,262,558,288
lncRNA:CR45188,0,0,0,0,0,0
snRNA:U1:82Eb,0,0,0,0,0,0
Ubc6,1295,849,2365,1067,2231,1105
CG14661,0,0,0,0,0,0
CG2016,10,31,27,24171,23287,12172
CG1124,213,0,0,48,34,56
CG14662,0,0,0,0,0,8
asRNA:CR43478,0,0,0,0,0,0
lncRNA:CR43424,0,0,0,0,0,14
plh,0,0,0,0,0,0
lncRNA:CR45585,0,0,0,0,0,0
lncRNA:CR46352,0,0,0,0,0,0
lncRNA:CR43635,0,0,0,0,0,0
lncRNA:CR45588,0,0,0,0,0,0
corto,631,20,36,164,129,71
CG43131,0,0,264,0,0,0
CG12007,293,36,182,452,511,148
CG12589,0,0,0,0,0,0
dpr16,0,0,0,0,0,0
CG12590,0,0,0,0,0,0
CR46401,0,0,0,0,0,0
cno,31,0,1030,31,138,61
snRNA:U4atac,0,0,0,0,0,0
Prosbeta2R2,0,0,0,0,0,0
CG1116,407,565,1311,362,332,315
Sccpdh1,1786,3300,930,689,863,522
CG14664,0,0,0,135,496,0
Vps37B,410,1136,1247,611,847,402
Kat60,83,10,0,32,179,93
Mms19,382,442,0,25,35,48
rtp,0,0,0,0,0,0
CG12163,1115,1649,1892,2636,2431,994
CG33293,0,0,0,0,0,0
asRNA:CR44019,0,0,0,0,1,3
CG1113,0,0,0,0,0,0
CG12173,831,1430,700,203,230,194
Hph,312,0,1,8,73,69
Tim17a2,0,0,0,0,0,0
lncRNA:CR45793,0,0,0,0,0,0
CR45033,0,0,0,0,0,0
mtd,724,430,857,351,732,482
CG31538,0,0,0,0,0,0
Tim17b1,0,0,0,0,2,0
CG11999,1314,879,1583,1831,989,810
CG1161,1249,1833,2237,1746,1490,877
Prosbeta7,2336,1944,367,1641,2873,1669
Cerk,0,0,2,75,146,0
lncRNA:CR44103,0,0,0,0,0,0
CG31542,0,0,0,0,0,0
CG34277,0,0,0,0,0,0
RpII18,7273,12501,17859,1859,2726,1710
hd,0,0,0,0,0,16
CG14667,0,0,634,0,93,17
7B2,0,0,0,0,0,0
kkv,278,1,0,339,506,453
CG14668,0,0,0,0,0,0
tRNA:Arg-TCG-4-1,0,0,0,0,0,0
CG1172,430,0,1,177,461,140
Or83a,0,0,0,0,0,0
CG2663,28,2,4,2703,2011,1185
Orco,0,0,0,0,0,0
CG14669,0,0,0,0,0,0
CG12147,0,0,0,0,0,0
PEK,192,4,0,0,45,73
RpL35A,2109,2398,1676,1409,1216,813
POLDIP2,111,592,0,344,487,291
mRpL44,630,1286,0,211,253,207
Snr1,1306,996,2630,585,628,266
CG45100,0,0,0,0,0,0
HDAC3,0,0,0,0,0,0
Hcs,0,0,0,0,36,47
ksr,0,0,0,31,0,8
CG31550,0,0,1,190,284,35
NKCC,0,0,0,0,0,0
Nmdar1,0,0,0,0,0,8
Itp-r83A,1,2043,0,18,38,34
CG43845,0,0,0,0,0,0
CG2519,388,751,0,139,443,156
mia,361,0,0,0,14,0
Pcmt,895,2172,3359,450,702,372
Snm1,0,0,0,0,96,28
Pi4KIIalpha,0,0,1,206,258,95
snoRNA:Pi4KIIalpha-a,0,0,0,0,0,0
asRNA:CR46136,0,0,0,0,0,0
CG14671,340,725,1979,454,320,201
CG12746,55,0,819,95,474,157
CG2931,514,1,169,64,134,137
Rheb,915,1624,392,983,980,853
CRMP,164,1,0,91,353,254
CG2926,333,61,0,155,447,339
scaRNA:MeU4:25F-C137,0,0,0,0,0,0
Rev7,208,0,0,9,55,8
noi,159,848,2164,90,323,228
Vha26,4010,2688,792,1503,2804,1513
kra,11755,6741,13078,12899,12591,7395
snoRNA:Psi28S-3385b,0,0,0,0,3,0
snoRNA:Psi28S-3385a,0,0,0,0,1,0
snoRNA:Psi28S-3091b,1,0,0,0,0,0
snoRNA:Psi28S-3091a,0,0,0,0,0,0
snoRNA:Psi28S-3571,0,0,0,0,0,0
snoRNA:Psi28S-3186,0,0,0,0,0,1
snoRNA:Psi28S-2442b,0,0,0,0,0,0
snoRNA:Psi28S-2442a,0,0,0,0,0,3
CG1427,175,277,0,106,130,61
asl,0,0,1,205,310,36
Rga,501,0,0,155,223,117
asRNA:ASTR,0,0,0,0,0,0
sisRNA:1,0,0,0,0,0,0
asRNA:CR46135,0,0,0,0,1,0
Atu,0,0,0,0,0,0
Spec2,21,1,0,417,421,266
CG2911,0,0,0,364,185,170
RpL13A,14201,12991,13172,6620,3964,3059
snoRNA:Me28S-U2134b,0,0,0,0,0,0
snoRNA:Me28S-U2134a,0,0,0,0,0,0
CG31551,0,0,0,0,0,0
CG31549,930,1420,2439,624,1054,439
CG12171,627,1029,56,381,356,193
CG31546,0,0,0,0,0,0
CG31548,867,764,4,170,226,71
CG12170,270,619,1,14,77,58
MTA1-like,10,0,0,214,552,221
Sec23,454,4,74,775,814,379
elm,296,718,1892,219,514,172
MED27,818,375,968,106,203,138
CG2182,552,148,2380,1238,1132,818
asRNA:CR44093,0,103,0,0,3,1
Wdr33,399,368,0,304,76,91
asRNA:CR46134,0,0,0,0,0,0
Xe7,142,0,2256,189,80,83
Atg17,1,0,2,12,128,44
Rab23,0,186,0,240,246,138
plx,0,53,0,0,45,0
CG2104,0,0,0,0,0,0
cas,0,0,0,2,37,13
lncRNA:CR44924,0,0,0,0,0,0
CG1239,478,440,0,328,242,93
CG2100,313,2,1,371,101,29
CG1236,1021,364,1648,454,544,456
Sym,0,497,1,43,216,4
Madm,91,2,5,16,277,71
CG2091,0,168,1,216,392,226
Sec8,3,0,0,66,805,213
CG2082,0,0,0,19,4,0
jagn,655,2,1766,1518,1018,644
kat-60L1,0,0,0,0,0,0
Hat1,867,655,1761,374,548,271
Rpn5,4270,3266,600,5444,4171,1993
CG1218,483,524,1,79,52,134
CG2046,925,760,1,666,652,463
CG10979,257,0,0,67,194,65
CG11000,0,0,210,98,60,30
CG42675,3,1,284,801,665,484
Hpr1,412,12,1,428,402,193
CG46303,0,0,0,0,0,0
CG2023,217,1,0,83,165,163
dgrn,50,0,2,16,189,110
glob3,0,0,0,0,0,0
CG1208,0,0,0,0,0,0
asRNA:CR45192,0,0,0,0,0,0
CG1213,0,0,0,0,0,0
CG14676,0,0,0,0,0,0
CR10991,0,0,0,0,0,0
disp,0,0,0,0,99,36
CG34287,0,0,0,0,0,0
ECSIT,0,61,1254,26,202,66
CG2017,92,0,0,149,467,32
asRNA:CR46133,0,0,0,0,0,0
side-III,0,0,0,0,0,0
lncRNA:CR45761,0,0,0,0,0,0
lncRNA:CR45762,0,0,0,0,0,0
CG11373,0,0,0,0,0,0
lncRNA:CR44925,0,0,0,0,0,0
lncRNA:CR44926,0,0,0,0,0,0
lncRNA:TS20,0,0,0,0,0,0
Obp83a,0,0,0,0,0,0
Obp83b,0,0,0,0,0,0
lncRNA:CR44927,0,0,0,0,0,0
lncRNA:CR44928,0,0,0,0,0,0
Rm62,3775,11308,5586,2612,3701,1912
CG10280,0,0,1,0,0,0
CG11459,0,0,0,0,58,0
CR1075,0,0,0,0,0,0
lncRNA:CR46221,0,0,0,0,0,0
lncRNA:CR44921,0,0,0,0,0,0
CG15580,0,0,0,0,0,0
Or83c,0,0,0,0,0,0
Gasp,1804,766,2883,38005,36636,5843
lncRNA:CR44929,0,0,0,0,0,0
Obp83cd,0,0,0,0,0,0
Obp83ef,0,0,0,0,31,0
Obp83g,0,0,0,0,0,0
Vha14-2,0,0,0,0,0,0
lncRNA:CR43486,0,0,0,0,0,0
lncRNA:CR43487,0,0,0,0,0,0
CG31559,0,0,0,75,68,52
CG1077,0,0,0,0,0,0
Osi1,0,0,0,0,0,0
CR31562,0,0,0,0,0,0
NPFR,0,0,0,0,0,0
Osi24,0,0,0,0,78,26
Osi2,0,0,0,0,0,0
Osi3,0,0,0,0,0,0
Osi4,0,0,0,0,14,0
Osi5,0,0,0,0,0,0
Osi6,0,0,0,1,8,1
Osi7,0,0,0,0,0,0
Osi8,0,0,0,0,0,0
Osi9,0,0,0,4,0,20
Osi10,0,0,0,0,0,0
Osi11,0,0,0,0,0,0
Osi12,0,0,0,0,0,0
CG15597,0,0,0,0,0,0
CG15594,0,0,0,0,0,0
Osi13,0,0,0,0,0,0
Osi14,0,0,0,0,0,0
Osi15,0,0,0,0,0,0
CG46396,0,0,0,0,0,0
Osi16,0,0,0,0,0,0
CG46026,0,0,0,0,0,0
CG31560,0,0,0,0,0,0
Osi17,60,0,0,0,0,0
Osi18,0,0,0,0,0,0
Osi19,0,0,0,0,10,0
Osi20,0,0,0,0,0,0
CG17917,0,0,0,67,11,2
CG10298,0,0,0,32,3,0
CG17919,138,0,142,45,38,6
SmD2,2423,2671,3292,1526,993,932
CG18048,0,0,0,0,63,22
Hr83,0,0,0,0,0,0
Pak,0,1,0,341,565,275
CG42724,200,1,2291,283,265,103
CG10286,1505,1004,2766,389,444,261
CRAT,372,1,785,176,197,143
CG42564,0,0,0,0,0,0
snoRNA:83E4-5,0,0,0,0,0,0
CG1024,0,0,0,13,51,23
CG42537,0,0,0,0,0,0
TfIIFalpha,98,0,1778,427,377,275
gzl,0,780,1,131,301,62
Dmtn,417,26,661,71,294,249
gpp,261,37,0,73,189,216
lncRNA:CR44017,0,46,0,0,0,8
CG9727,0,0,0,203,26,0
mir-9375,0,0,0,0,0,0
Zif,690,200,1,198,162,115
Neurochondrin,0,0,0,133,92,0
CG15186,0,0,0,0,0,0
tRNA:Met-CAT-1-5,0,0,0,0,0,0
CG15185,0,0,0,0,0,0
dpr11,0,0,0,0,0,0
Pif2,0,0,0,0,0,0
lncRNA:CR46132,0,0,0,0,0,0
CG1137,0,0,0,0,0,0
CG2336,0,0,0,0,0,0
lncRNA:CR46131,0,0,0,0,0,0
CG1138,0,0,0,0,0,0
CG31482,0,0,0,0,0,0
glob2,0,0,0,0,0,0
sowi,0,0,0,0,0,0
CG15177,0,0,0,0,0,0
sunz,0,0,0,0,0,0
CG31286,0,0,0,0,0,0
Ass,0,0,0,0,0,0
Taf1,144,484,0,29,61,60
CG1307,1144,355,1776,1019,750,416
twr,2036,1371,903,3370,3599,1918
agt,319,163,0,47,20,4
lab,0,0,0,0,0,0
Edg84A,0,0,0,0,0,0
Ccp84Ag,0,6,103,0,0,0
Ccp84Af,0,0,0,0,0,0
Ccp84Ae,0,0,0,0,0,0
Ccp84Ad,0,0,0,0,0,0
Ccp84Ac,0,0,0,0,0,0
lncRNA:CR33938,0,0,0,0,0,0
Ccp84Ab,0,0,0,0,0,0
Ccp84Aa,0,0,0,0,0,0
pb,0,0,0,0,0,0
zen2,0,0,0,0,0,0
CG34297,0,0,0,0,0,0
zen,0,0,0,0,0,0
bcd,0,0,0,0,0,0
lncRNA:CR45593,0,0,0,0,6,0
Ama,279,3,2,1188,2233,1509
lncRNA:CR44930,0,0,0,0,0,0
lncRNA:CR42721,0,0,0,0,0,0
mir-993,0,0,0,0,0,0
lncRNA:CR43435,0,0,0,0,0,0
Dfd,0,0,0,0,0,0
lncRNA:CR42651,0,0,0,0,2,0
mir-10,0,0,0,0,0,0
lncRNA:CR45915,0,0,0,0,0,0
tRNA:Lys-CTT-2-1Psi,0,0,0,0,0,0
tRNA:Lys-TTT-2-1,0,0,0,0,0,0
7SLRNA:CR42652,0,0,2,0,1,0
tRNA:Lys-TTT-2-2,0,0,0,0,0,0
tRNA:Lys-TTT-2-3,0,0,0,0,0,0
7SLRNA:CR32864,3,2,0,0,1,1
tRNA:Lys-TTT-2-4,0,0,0,0,0,0
Scr,0,0,0,0,0,0
lncRNA:CR45901,0,0,0,0,0,0
lncRNA:CR45902,0,0,0,0,0,0
lncRNA:CR45903,0,0,0,0,0,0
lncRNA:CR45904,0,0,0,0,0,0
lncRNA:CR45905,0,0,0,0,0,0
lncRNA:CR45900,0,0,0,0,0,0
ftz,0,0,0,0,0,0
lncRNA:CR44931,0,0,0,0,0,0
lncRNA:CR45559,0,0,0,0,0,0
lncRNA:CR44932,0,0,0,0,0,0
Antp,3,1330,0,0,0,0
lncRNA:CR43252,0,0,0,0,0,0
lncRNA:CR45899,0,0,0,0,0,0
lncRNA:CR44933,0,0,0,0,0,0
Sodh-1,0,0,1,0,0,0
CG1979,0,0,0,0,0,0
dj,0,0,0,0,0,0
djl,0,0,0,0,0,0
CG1988,0,0,0,0,0,0
CG1105,1382,646,1,569,688,260
CG1965,1,505,33,1,75,208
Ufl1,1,1,0,267,530,484
asRNA:CR45908,0,0,0,1,17,0
CG1943,1719,3598,778,1673,2105,955
Ref1,906,3302,1608,1514,1504,672
Dpck,0,0,991,85,100,40
Tailor,218,54,1,257,442,477
asRNA:CR45907,29,50,145,12,8,10
alphaTub84B,8672,9194,10671,24459,35111,16463
lncRNA:CR43685,616,1,861,131,210,35
e(y)2b,200,0,0,53,8,1
Alh,1,729,0,131,106,13
lncRNA:CR45906,0,0,0,0,0,0
Mlp84B,0,0,0,0,7,0
CG10098,1043,550,16,2235,2159,1147
CG10068,392,1,0,120,204,69
CR42875,39,0,370,15,99,24
CG31248,208,1,803,24,77,32
tRNA:Gly-TCC-1-1,0,0,0,0,0,0
tRNA:Gly-TCC-1-2,0,0,0,0,0,0
CG31493,0,0,0,0,0,0
Fer1,0,0,0,0,0,0
asRNA:CR42738,0,0,0,0,0,0
CG14610,0,0,0,0,0,0
CG2656,158,723,516,168,308,112
gfzf,403,217,62,151,126,14
Sas-4,122,0,0,0,0,25
MAGE,147,390,0,105,37,25
asRNA:CR45909,0,0,0,0,0,0
sas,518,65,123,86,159,22
CG10055,38,160,0,199,233,154
lap,28,308,0,382,303,191
CG14609,0,0,0,0,0,0
CG1288,0,0,0,0,0,0
CG14606,0,0,0,0,0,0
CG14605,0,0,0,0,0,0
thw,0,0,0,0,0,0
CG14607,0,0,0,0,0,0
CG1234,1104,418,183,69,144,206
CG10053,3,280,629,207,93,112
CG1227,0,3,1379,346,187,121
CG10050,1,1,1,132,263,169
Obp84a,0,0,0,11,17,17
Gld,0,0,0,156,295,60
lncRNA:CR44338,0,0,0,0,0,0
Syt4,147,3,316,395,615,315
CR10032,0,0,0,0,0,0
rn,0,0,0,0,0,0
lncRNA:CR44333,0,0,0,0,0,0
RacGAP84C,0,0,0,0,0,0
CG42544,0,0,0,0,0,0
lncRNA:CR44334,0,0,0,0,0,0
lncRNA:CR46130,0,0,0,0,0,0
CG10029,0,0,0,0,0,0
lncRNA:CR46299,0,0,0,0,0,0
lncRNA:CR46224,0,0,0,0,0,0
CG44335,0,0,0,0,0,0
lncRNA:TS14,0,0,0,0,0,0
lncRNA:CR44337,0,0,0,0,0,0
CG31496,0,0,0,0,0,0
nxf4,0,0,0,0,0,0
CG43290,0,0,0,0,0,0
CG17944,0,0,0,0,0,0
Mst84Dd,0,0,0,0,0,0
Mst84Dc,0,0,0,0,0,0
Mst84Db,0,0,0,0,0,0
Mst84Da,0,0,0,0,0,0
MstProx,0,0,0,0,0,0
lncRNA:CR45560,0,0,0,0,0,0
CG42650,0,0,0,0,0,0
Ir84a,0,0,0,0,0,0
CR46300,0,0,0,0,0,0
wa-cup,0,0,0,0,0,0
CG14598,0,0,0,0,0,0
tRNA:Val-CAC-2-1,0,0,0,0,0,0
mir-4950,0,0,0,0,0,0
tRNA:Val-CAC-2-2,0,0,0,0,0,0
lncRNA:CR44934,0,0,0,0,0,0
tRNA:Val-CAC-2-3,0,0,0,0,0,0
CG1142,872,48,952,224,421,148
scaRNA:MeU5-C46,15,0,0,4,11,4
snRNA:7SK,0,49,0,1,6,9
tRNA:Val-CAC-2-4,0,0,0,0,0,0
alpha-Est10,0,1,0,0,26,9
CG42656,0,0,0,0,0,0
alpha-Est9,0,0,0,0,13,0
Mics1,0,0,0,0,0,0
alpha-Est8,0,0,235,0,0,0
Ubc84D,0,0,0,0,0,0
alpha-Est7,0,0,41,0,0,0
alpha-Est6,0,0,0,0,0,0
alpha-Est4aPsi,0,0,0,0,0,0
Rtnl2,0,0,0,0,0,0
alphaTub84D,121,856,4,685,1476,952
alpha-Est5,0,0,0,2,0,0
alpha-Est4,0,0,0,0,0,0
asRNA:CR46128,0,0,0,0,0,0
alpha-Est3,0,0,0,0,0,0
alpha-Est2,214,118,0,0,0,0
asRNA:CR46129,0,0,0,0,0,0
alpha-Est1,0,0,0,6,9,0
CG45545,0,0,0,0,0,0
Nlg3,0,0,0,0,0,0
lncRNA:CR44332,0,0,0,0,0,0
Nlg1,0,0,0,0,0,0
lncRNA:CR44260,0,0,0,0,0,0
CG2616,0,0,0,0,0,0
CG43254,0,0,0,0,0,0
lncRNA:CR44935,0,0,0,0,0,0
pyd3,0,0,0,0,0,0
CG10919,0,0,0,0,0,0
Sp7,0,265,0,417,442,287
CG11286,0,0,0,0,0,0
lncRNA:CR46225,0,0,0,0,0,0
lncRNA:CR46226,0,0,0,0,0,0
CG18747,0,0,0,0,0,0
CG18745,0,0,0,0,0,0
CG18748,0,0,0,0,0,0
CG18746,0,0,0,0,0,0
CG10086,0,0,0,0,0,0
CG2641,0,0,0,0,15,0
CG18744,0,0,0,0,0,0
CG3014,0,0,0,0,0,0
CG18268,0,0,0,0,0,0
CG2993,0,0,0,0,0,0
sgll,1430,767,108,535,585,379
CG31473,0,0,0,0,21,17
CG34384,0,0,0,0,8,0
CG17816,0,0,0,0,93,65
lncRNA:CR46127,0,0,0,0,0,0
ArgRS-m,0,1,1,168,72,137
mRpS9,0,0,0,37,47,45
wtrw,1,1,1,1234,1728,357
EMC1,0,0,1,308,657,170
Taf7,128,0,1,7,13,12
Prat,1693,60,2,319,203,282
CG2846,979,140,1748,386,417,264
CG2678,0,0,0,0,38,0
CG10445,0,0,0,0,0,44
lds,0,0,0,58,247,25
scaRNA:MeU2-C41,0,0,0,0,0,0
dsx,0,84,0,9,0,0
CD98hc,1646,1,2,1339,2894,1339
Os-C,0,0,0,0,0,0
Sfp84E,0,0,0,0,0,0
ELOVL,0,0,0,0,11,0
lncRNA:CR46143,0,0,0,0,0,0
lncRNA:CR46142,0,0,0,0,0,0
PIG-H,383,140,948,100,168,62
Kmn2,29,0,83,2,19,5
CG2698,0,3,0,39,521,117
CG2767,1177,415,1966,1097,953,588
CG11052,0,0,0,0,0,0
CG3223,925,341,1834,912,896,525
CG10435,32,941,292,443,349,322
Pbp95,0,0,0,28,52,86
CG2747,0,0,1,10,175,50
ImpE3,0,0,0,448,526,170
CG10903,58,42,0,49,36,40
CG11035,37,0,653,81,106,23
unc-45,1,275,0,774,685,263
lncRNA:CR44936,0,0,0,0,0,0
CG43060,0,293,0,0,0,0
CG43618,0,0,0,0,0,0
CG43061,0,0,0,0,0,0
mAChR-B,0,0,0,0,0,0
snoRNA:Me18S-G423,0,0,0,0,0,0
CG7910,0,0,0,0,0,0
lncRNA:CR44330,0,0,0,0,0,0
CG7900,0,0,0,108,45,1
puc,11,317,1,456,400,190
lncRNA:CR44331,0,0,0,8,19,0
CG7878,4,743,0,77,654,367
CG9667,506,628,2697,461,607,354
Arl8,1430,1230,1,284,562,299
tRNA:Asn-GTT-1-10,0,0,0,0,0,0
tRNA:Arg-ACG-1-6,0,0,0,0,0,0
tRNA:Arg-ACG-1-7,0,0,0,0,0,0
tRNA:Arg-ACG-1-8,0,0,0,0,0,0
tRNA:Arg-ACG-1-9,0,0,0,0,0,0
tRNA:Arg-ACG-1-10,0,0,0,0,0,0
grn,1,2,0,93,30,4
lncRNA:CR43302,0,0,0,0,0,0
lncRNA:CR43303,0,0,0,0,0,0
CheA84a,0,0,0,0,0,0
CG7800,5,778,0,189,322,220
CG18249,0,0,0,0,141,0
lncRNA:CR45551,0,0,0,0,0,0
lncRNA:CR45550,0,0,0,0,0,0
asRNA:CR45549,0,0,0,0,15,0
DNApol-iota,0,0,1,125,322,80
Ada2b,313,0,0,361,706,128
CG9636,0,0,1,116,158,162
CG18749,0,0,0,0,0,0
CG33722,0,0,0,0,0,0
CG15864,1,0,0,0,0,0
mtg,0,0,0,0,1,0
CR18228,0,0,0,0,18,0
RpA-70,15,0,83,4,104,65
Mcm2,1599,0,0,0,199,74
CG9630,0,1,0,1,156,98
ato,0,0,0,0,0,0
lncRNA:CR44318,0,0,0,0,0,0
Nazo,0,0,0,0,0,0
CG11672,0,0,0,0,0,0
CG31464,0,0,0,0,0,0
CG31463,0,0,0,0,0,0
CG9626,0,0,0,0,0,0
mRpL1,979,651,0,658,564,113
nac,493,1,1,407,145,299
Sgt1,1267,4471,2,832,1136,422
tex,810,1,1,112,220,78
mir-4918,0,0,0,0,0,0
CG11693,0,0,0,44,0,0
CG11694,0,0,0,0,0,0
CG11698,0,0,0,0,0,0
CG7483,420,33,1695,797,710,267
Coq2,349,0,0,30,39,36
lncRNA:CR45215,0,0,0,0,3,0
Ctr1B,0,0,0,0,0,0
Poxm,0,0,0,0,0,0
Or85a,0,0,0,0,0,0
CG7443,0,0,0,0,0,0
COX7A,2469,3386,1754,1461,1906,849
Arl2,242,11,525,205,237,120
CG9601,40,126,1,44,129,32
COX7AL,0,0,0,0,0,0
DppIII,1678,699,3,1888,2428,1144
CG7352,0,0,0,0,4,0
mir-9380,0,0,0,0,0,0
Atg13,1,1,1898,157,86,160
stck,224,1511,1564,793,1303,531
CG9684,456,0,1,339,712,512
CG7963,0,0,0,0,0,0
CG45263,75,0,0,0,16,0
lncRNA:CR46126,0,0,0,0,0,0
Obp85a,0,0,0,0,0,0
lncRNA:CR46125,0,0,0,0,0,0
Or85b,0,0,0,0,0,0
Or85c,0,0,0,0,0,0
lncRNA:CR46228,0,0,0,0,0,0
CG11737,0,0,0,143,22,67
CG31454,0,0,0,0,0,0
CG31259,0,0,0,0,0,9
CG11741,0,0,0,0,0,0
lncRNA:CR45575,0,0,0,0,0,0
lncRNA:CR45574,0,0,0,0,0,0
Or85d,0,0,0,0,0,0
pch2,655,128,206,200,155,75
mRpS18A,2314,5176,5486,582,907,604
CG31460,30,51,3,0,1,0
asRNA:CR44291,2,0,61,12,0,3
Cenp-C,546,0,0,148,7,69
5-HT2B,0,0,0,0,0,0
lncRNA:CR46124,0,0,0,0,0,0
Or85e,17,0,0,0,0,0
tRNA:Tyr-GTA-1-4,0,0,0,0,0,0
tRNA:Tyr-GTA-1-5,0,0,0,0,0,0
Cyp313b1,942,1,0,10,75,0
Mkk4,478,27,0,394,538,266
SLIRP2,116,163,0,31,69,20
Dhod,1740,968,56,1146,1693,770
CG11753,864,491,613,445,588,214
CG42489,24,0,0,0,0,0
bel,775,152,100,753,1088,800
p,0,0,0,1,300,88
CG8032,0,1113,0,133,131,30
CG8036,979,1939,649,263,804,552
tRNA:Tyr-GTA-1-6,0,0,0,0,0,0
tRNA:Tyr-GTA-1-7,0,0,0,0,0,0
tRNA:Tyr-GTA-1-8,0,0,0,0,0,0
mRpL19,1868,379,2210,789,725,360
CG9773,15,2,1306,209,460,233
CG8043,0,0,0,105,121,84
CG11755,69,0,14,119,113,17
CG33325,0,0,0,0,0,0
